basemodel,Desk Type,Wire Channel,Flush Modesty,Depth,Width,Finish Type
FLT3660BD,Bow Front Double Pedestal Desk,false,false,36,60,Laminate
FLV3660BD,Bow Front Double Pedestal Desk,false,false,36,60,Veneer
FLT3666BD,Bow Front Double Pedestal Desk,false,false,36,66,Laminate
FLV3666BD,Bow Front Double Pedestal Desk,false,false,36,66,Veneer
FLT3672BD,Bow Front Double Pedestal Desk,false,false,36,72,Laminate
FLV3672BD,Bow Front Double Pedestal Desk,false,false,36,72,Veneer
FLT3678BD,Bow Front Double Pedestal Desk,false,false,36,78,Laminate
FLV3678BD,Bow Front Double Pedestal Desk,false,false,36,78,Veneer
FLT3684BD,Bow Front Double Pedestal Desk,false,false,36,84,Laminate
FLV3684BD,Bow Front Double Pedestal Desk,false,false,36,84,Veneer
FLT4272BD,Bow Front Double Pedestal Desk,false,false,42,72,Laminate
FLV4272BD,Bow Front Double Pedestal Desk,false,false,42,72,Veneer
FLT4278BD,Bow Front Double Pedestal Desk,false,false,42,78,Laminate
FLV4278BD,Bow Front Double Pedestal Desk,false,false,42,78,Veneer
FLT4284BD,Bow Front Double Pedestal Desk,false,false,42,84,Laminate
FLV4284BD,Bow Front Double Pedestal Desk,false,false,42,84,Veneer
FLT3660BDST,Bow Front Double Pedestal Desk,true,false,36,60,Laminate
FLV3660BDST,Bow Front Double Pedestal Desk,true,false,36,60,Veneer
FLT3666BDST,Bow Front Double Pedestal Desk,true,false,36,66,Laminate
FLV3666BDST,Bow Front Double Pedestal Desk,true,false,36,66,Veneer
FLT3672BDST,Bow Front Double Pedestal Desk,true,false,36,72,Laminate
FLV3672BDST,Bow Front Double Pedestal Desk,true,false,36,72,Veneer
FLT3678BDST,Bow Front Double Pedestal Desk,true,false,36,78,Laminate
FLV3678BDST,Bow Front Double Pedestal Desk,true,false,36,78,Veneer
FLT3684BDST,Bow Front Double Pedestal Desk,true,false,36,84,Laminate
FLV3684BDST,Bow Front Double Pedestal Desk,true,false,36,84,Veneer
FLT4272BDST,Bow Front Double Pedestal Desk,true,false,42,72,Laminate
FLV4272BDST,Bow Front Double Pedestal Desk,true,false,42,72,Veneer
FLT4278BDST,Bow Front Double Pedestal Desk,true,false,42,78,Laminate
FLV4278BDST,Bow Front Double Pedestal Desk,true,false,42,78,Veneer
FLT4284BDST,Bow Front Double Pedestal Desk,true,false,42,84,Laminate
FLV4284BDST,Bow Front Double Pedestal Desk,true,false,42,84,Veneer
FLT3060DD,Double Pedestal Desk,false,false,30,60,Laminate
FLV3060DD,Double Pedestal Desk,false,false,30,60,Veneer
FLT3066DD,Double Pedestal Desk,false,false,30,66,Laminate
FLV3066DD,Double Pedestal Desk,false,false,30,66,Veneer
FLT3072DD,Double Pedestal Desk,false,false,30,72,Laminate
FLV3072DD,Double Pedestal Desk,false,false,30,72,Veneer
FLT3078DD,Double Pedestal Desk,false,false,30,78,Laminate
FLV3078DD,Double Pedestal Desk,false,false,30,78,Veneer
FLT3084DD,Double Pedestal Desk,false,false,30,84,Laminate
FLV3084DD,Double Pedestal Desk,false,false,30,84,Veneer
FLT3672DD,Double Pedestal Desk,false,false,36,72,Laminate
FLV3672DD,Double Pedestal Desk,false,false,36,72,Veneer
FLT3678DD,Double Pedestal Desk,false,false,36,78,Laminate
FLV3678DD,Double Pedestal Desk,false,false,36,78,Veneer
FLT3684DD,Double Pedestal Desk,false,false,36,84,Laminate
FLV3684DD,Double Pedestal Desk,false,false,36,84,Veneer
FLT3060DDF,Double Pedestal Desk,false,true,30,60,Laminate
FLV3060DDF,Double Pedestal Desk,false,true,30,60,Veneer
FLT3066DDF,Double Pedestal Desk,false,true,30,66,Laminate
FLV3066DDF,Double Pedestal Desk,false,true,30,66,Veneer
FLT3072DDF,Double Pedestal Desk,false,true,30,72,Laminate
FLV3072DDF,Double Pedestal Desk,false,true,30,72,Veneer
FLT3078DDF,Double Pedestal Desk,false,true,30,78,Laminate
FLV3078DDF,Double Pedestal Desk,false,true,30,78,Veneer
FLT3084DDF,Double Pedestal Desk,false,true,30,84,Laminate
FLV3084DDF,Double Pedestal Desk,false,true,30,84,Veneer
FLT3060DDST,Double Pedestal Desk,true,false,30,60,Laminate
FLV3060DDST,Double Pedestal Desk,true,false,30,60,Veneer
FLT3066DDST,Double Pedestal Desk,true,false,30,66,Laminate
FLV3066DDST,Double Pedestal Desk,true,false,30,66,Veneer
FLT3072DDST,Double Pedestal Desk,true,false,30,72,Laminate
FLV3072DDST,Double Pedestal Desk,true,false,30,72,Veneer
FLT3078DDST,Double Pedestal Desk,true,false,30,78,Laminate
FLV3078DDST,Double Pedestal Desk,true,false,30,78,Veneer
FLT3084DDST,Double Pedestal Desk,true,false,30,84,Laminate
FLV3084DDST,Double Pedestal Desk,true,false,30,84,Veneer
FLT3672DDST,Double Pedestal Desk,true,false,36,72,Laminate
FLV3672DDST,Double Pedestal Desk,true,false,36,72,Veneer
FLT3678DDST,Double Pedestal Desk,true,false,36,78,Laminate
FLV3678DDST,Double Pedestal Desk,true,false,36,78,Veneer
FLT3684DDST,Double Pedestal Desk,true,false,36,84,Laminate
FLV3684DDST,Double Pedestal Desk,true,false,36,84,Veneer
FLT3060DDSTF,Double Pedestal Desk,true,true,30,60,Laminate
FLV3060DDSTF,Double Pedestal Desk,true,true,30,60,Veneer
FLT3066DDSTF,Double Pedestal Desk,true,true,30,66,Laminate
FLV3066DDSTF,Double Pedestal Desk,true,true,30,66,Veneer
FLT3072DDSTF,Double Pedestal Desk,true,true,30,72,Laminate
FLV3072DDSTF,Double Pedestal Desk,true,true,30,72,Veneer
FLT3078DDSTF,Double Pedestal Desk,true,true,30,78,Laminate
FLV3078DDSTF,Double Pedestal Desk,true,true,30,78,Veneer
FLT3084DDSTF,Double Pedestal Desk,true,true,30,84,Laminate
FLV3084DDSTF,Double Pedestal Desk,true,true,30,84,Veneer
FLT3660ED,Double Pedestal Desk (w/ 6" Overhang),false,false,36,60,Laminate
FLV3660ED,Double Pedestal Desk (w/ 6" Overhang),false,false,36,60,Veneer
FLT3666ED,Double Pedestal Desk (w/ 6" Overhang),false,false,36,66,Laminate
FLV3666ED,Double Pedestal Desk (w/ 6" Overhang),false,false,36,66,Veneer
FLT3672ED,Double Pedestal Desk (w/ 6" Overhang),false,false,36,72,Laminate
FLV3672ED,Double Pedestal Desk (w/ 6" Overhang),false,false,36,72,Veneer
FLT3678ED,Double Pedestal Desk (w/ 6" Overhang),false,false,36,78,Laminate
FLV3678ED,Double Pedestal Desk (w/ 6" Overhang),false,false,36,78,Veneer
FLT3684ED,Double Pedestal Desk (w/ 6" Overhang),false,false,36,84,Laminate
FLV3684ED,Double Pedestal Desk (w/ 6" Overhang),false,false,36,84,Veneer
FLT4272ED,Double Pedestal Desk (w/ 6" Overhang),false,false,42,72,Laminate
FLV4272ED,Double Pedestal Desk (w/ 6" Overhang),false,false,42,72,Veneer
FLT4278ED,Double Pedestal Desk (w/ 6" Overhang),false,false,42,78,Laminate
FLV4278ED,Double Pedestal Desk (w/ 6" Overhang),false,false,42,78,Veneer
FLT4284ED,Double Pedestal Desk (w/ 6" Overhang),false,false,42,84,Laminate
FLV4284ED,Double Pedestal Desk (w/ 6" Overhang),false,false,42,84,Veneer
FLT3060EDF,Double Pedestal Desk (w/ 6" Overhang),false,true,30,60,Laminate
FLV3060EDF,Double Pedestal Desk (w/ 6" Overhang),false,true,30,60,Veneer
FLT3066EDF,Double Pedestal Desk (w/ 6" Overhang),false,true,30,66,Laminate
FLV3066EDF,Double Pedestal Desk (w/ 6" Overhang),false,true,30,66,Veneer
FLT3072EDF,Double Pedestal Desk (w/ 6" Overhang),false,true,30,72,Laminate
FLV3072EDF,Double Pedestal Desk (w/ 6" Overhang),false,true,30,72,Veneer
FLT3672EDF,Double Pedestal Desk (w/ 6" Overhang),false,true,36,72,Laminate
FLV3672EDF,Double Pedestal Desk (w/ 6" Overhang),false,true,36,72,Veneer
FLT3678EDF,Double Pedestal Desk (w/ 6" Overhang),false,true,36,78,Laminate
FLV3678EDF,Double Pedestal Desk (w/ 6" Overhang),false,true,36,78,Veneer
FLT3684EDF,Double Pedestal Desk (w/ 6" Overhang),false,true,36,84,Laminate
FLV3684EDF,Double Pedestal Desk (w/ 6" Overhang),false,true,36,84,Veneer
FLT3660EDST,Double Pedestal Desk (w/ 6" Overhang),true,false,36,60,Laminate
FLV3660EDST,Double Pedestal Desk (w/ 6" Overhang),true,false,36,60,Veneer
FLT3666EDST,Double Pedestal Desk (w/ 6" Overhang),true,false,36,66,Laminate
FLV3666EDST,Double Pedestal Desk (w/ 6" Overhang),true,false,36,66,Veneer
FLT3672EDST,Double Pedestal Desk (w/ 6" Overhang),true,false,36,72,Laminate
FLV3672EDST,Double Pedestal Desk (w/ 6" Overhang),true,false,36,72,Veneer
FLT3678EDST,Double Pedestal Desk (w/ 6" Overhang),true,false,36,78,Laminate
FLV3678EDST,Double Pedestal Desk (w/ 6" Overhang),true,false,36,78,Veneer
FLT3684EDST,Double Pedestal Desk (w/ 6" Overhang),true,false,36,84,Laminate
FLV3684EDST,Double Pedestal Desk (w/ 6" Overhang),true,false,36,84,Veneer
FLT4272EDST,Double Pedestal Desk (w/ 6" Overhang),true,false,42,72,Laminate
FLV4272EDST,Double Pedestal Desk (w/ 6" Overhang),true,false,42,72,Veneer
FLT4278EDST,Double Pedestal Desk (w/ 6" Overhang),true,false,42,78,Laminate
FLV4278EDST,Double Pedestal Desk (w/ 6" Overhang),true,false,42,78,Veneer
FLT4284EDST,Double Pedestal Desk (w/ 6" Overhang),true,false,42,84,Laminate
FLV4284EDST,Double Pedestal Desk (w/ 6" Overhang),true,false,42,84,Veneer
FLT3660LBD,Bow Front Single Pedestal Desk - Left,false,false,36,60,Laminate
FLV3660LBD,Bow Front Single Pedestal Desk - Left,false,false,36,60,Veneer
FLT3666LBD,Bow Front Single Pedestal Desk - Left,false,false,36,66,Laminate
FLV3666LBD,Bow Front Single Pedestal Desk - Left,false,false,36,66,Veneer
FLT3672LBD,Bow Front Single Pedestal Desk - Left,false,false,36,72,Laminate
FLV3672LBD,Bow Front Single Pedestal Desk - Left,false,false,36,72,Veneer
FLT3678LBD,Bow Front Single Pedestal Desk - Left,false,false,36,78,Laminate
FLV3678LBD,Bow Front Single Pedestal Desk - Left,false,false,36,78,Veneer
FLT3684LBD,Bow Front Single Pedestal Desk - Left,false,false,36,84,Laminate
FLV3684LBD,Bow Front Single Pedestal Desk - Left,false,false,36,84,Veneer
FLT4272LBD,Bow Front Single Pedestal Desk - Left,false,false,42,72,Laminate
FLV4272LBD,Bow Front Single Pedestal Desk - Left,false,false,42,72,Veneer
FLT4278LBD,Bow Front Single Pedestal Desk - Left,false,false,42,78,Laminate
FLV4278LBD,Bow Front Single Pedestal Desk - Left,false,false,42,78,Veneer
FLT4284LBD,Bow Front Single Pedestal Desk - Left,false,false,42,84,Laminate
FLV4284LBD,Bow Front Single Pedestal Desk - Left,false,false,42,84,Veneer
FLT3660LBDST,Bow Front Single Pedestal Desk - Left,true,false,36,60,Laminate
