basemodel,Model Code,Width,Height,Finish Type
FLB3024WMMB,Wall Mount Markerboard,24,30,
FLB3024WMMB,Wall Mount Markerboard,24,30,Laminate
FLB3024WMMB,Wall Mount Markerboard,24,30,Veneer
FLB3032WMMB,Wall Mount Markerboard,32,30,
FLB3032WMMB,Wall Mount Markerboard,32,30,Laminate
FLB3032WMMB,Wall Mount Markerboard,32,30,Veneer
FLB3041WMMB,Wall Mount Markerboard,41,30,
FLB3041WMMB,Wall Mount Markerboard,41,30,Laminate
FLB3041WMMB,Wall Mount Markerboard,41,30,Veneer
FLB3049WMMB,Wall Mount Markerboard,49,30,
FLB3049WMMB,Wall Mount Markerboard,49,30,Laminate
FLB3049WMMB,Wall Mount Markerboard,49,30,Veneer
FLB3024WMMBG,Wall Mount Glass Markerboard,24,30,
FLB3024WMMBG,Wall Mount Glass Markerboard,24,30,Laminate
FLB3024WMMBG,Wall Mount Glass Markerboard,24,30,Veneer
FLB3032WMMBG,Wall Mount Glass Markerboard,32,30,
FLB3032WMMBG,Wall Mount Glass Markerboard,32,30,Laminate
FLB3032WMMBG,Wall Mount Glass Markerboard,32,30,Veneer
FLB3041WMMBG,Wall Mount Glass Markerboard,41,30,
FLB3041WMMBG,Wall Mount Glass Markerboard,41,30,Laminate
FLB3041WMMBG,Wall Mount Glass Markerboard,41,30,Veneer
FLB3049WMMBG,Wall Mount Glass Markerboard,49,30,
FLB3049WMMBG,Wall Mount Glass Markerboard,49,30,Laminate
FLB3049WMMBG,Wall Mount Glass Markerboard,49,30,Veneer
FLT3024WMP,Wall Mount Panel,24,30,Laminate
FLV3024WMP,Wall Mount Panel,24,30,Veneer
FLT3032WMP,Wall Mount Panel,32,30,Laminate
FLV3032WMP,Wall Mount Panel,32,30,Veneer
FLT3041WMP,Wall Mount Panel,41,30,Laminate
FLV3041WMP,Wall Mount Panel,41,30,Veneer
FLT3049WMP,Wall Mount Panel,49,30,Laminate
FLV3049WMP,Wall Mount Panel,49,30,Veneer
FLT3024WPCDF,Workwall Pnl w/Accessory File Shelf,24,30,Laminate
FLV3024WPCDF,Workwall Pnl w/Accessory File Shelf,24,30,Veneer
FLT3032WPCDF,Workwall Pnl w/Accessory File Shelf,32,30,Laminate
FLV3032WPCDF,Workwall Pnl w/Accessory File Shelf,32,30,Veneer
FLT3024WPCDT,Workwall Pnl w/Accessory Shelf,24,30,Laminate
FLV3024WPCDT,Workwall Pnl w/Accessory Shelf,24,30,Veneer
FLT3032WPCDT,Workwall Pnl w/Accessory Shelf,32,30,Laminate
FLV3032WPCDT,Workwall Pnl w/Accessory Shelf,32,30,Veneer
FLT3024WPFCD,Workwall Pnl w/Accessory File Shelf,24,30,Laminate
FLV3024WPFCD,Workwall Pnl w/Accessory File Shelf,24,30,Veneer
FLT3032WPFCD,Workwall Pnl w/Accessory File Shelf,32,30,Laminate
FLV3032WPFCD,Workwall Pnl w/Accessory File Shelf,32,30,Veneer
FLT3024WPFF,Workwall Panel w/File Shelf,24,30,Laminate
FLV3024WPFF,Workwall Panel w/File Shelf,24,30,Veneer
FLT3032WPFF,Workwall Panel w/File Shelf,32,30,Laminate
FLV3032WPFF,Workwall Panel w/File Shelf,32,30,Veneer
FLT3024WPMS,Workwall Panel with Mini Shelf,24,30,Laminate
FLV3024WPMS,Workwall Panel with Mini Shelf,24,30,Veneer
FLT3032WPMS,Workwall Panel with Mini Shelf,32,30,Laminate
FLV3032WPMS,Workwall Panel with Mini Shelf,32,30,Veneer
FLT3024WPTCD,Workwall Pnl w/Accessory Shelf,24,30,Laminate
FLV3024WPTCD,Workwall Pnl w/Accessory Shelf,24,30,Veneer
FLT3032WPTCD,Workwall Pnl w/Accessory Shelf,32,30,Laminate
FLV3032WPTCD,Workwall Pnl w/Accessory Shelf,32,30,Veneer
FLB3024WT,Wall Mount Tack Panel,24,30,
FLB3024WT,Wall Mount Tack Panel,24,30,Laminate
FLB3024WT,Wall Mount Tack Panel,24,30,Veneer
FLB3032WT,Wall Mount Tack Panel,32,30,
FLB3032WT,Wall Mount Tack Panel,32,30,Laminate
FLB3032WT,Wall Mount Tack Panel,32,30,Veneer
FLB3041WT,Wall Mount Tack Panel,41,30,
FLB3041WT,Wall Mount Tack Panel,41,30,Laminate
FLB3041WT,Wall Mount Tack Panel,41,30,Veneer
FLB3049WT,Wall Mount Tack Panel,49,30,
FLB3049WT,Wall Mount Tack Panel,49,30,Laminate
FLB3049WT,Wall Mount Tack Panel,49,30,Veneer
